index,code,year,period,id,Country,population,tourists,venue,rate,food,glass,metal,other,paper,plastic,leather,green_waste,waste_recycling
5348,EEA_3161-05-5,2009,2009-01--2009-12,FRFRR281_4,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5360,EEA_31615-01-7,2009,2009-01--2009-12,FRFR229,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5363,EEA_3161-03-3,2009,2009-01--2009-12,FRFRR227_2,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5367,EEA_3161-02-2,2009,2009-01--2009-12,FRFR280,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5374,EEA_3161-02-2,2009,2009-01--2009-12,FRFRR227_2,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5376,EEA_31615-01-7,2009,2009-01--2009-12,FRFR281,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5391,EEA_31615-01-7,2009,2009-01--2009-12,FRFR177,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5402,EEA_31615-01-7,2009,2009-01--2009-12,FRFRR281_4,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5406,EEA_3161-03-3,2009,2008-12--2009-02,FRFR230,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5416,EEA_3161-05-5,2009,2009-01--2009-12,FRFR230,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5417,EEA_31615-01-7,2009,2009-01--2009-12,FRFR230,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5418,EEA_3161-02-2,2009,2009-01--2009-12,FRFR230,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5431,EEA_3161-01-1,2008,2008-01--2008-12,FRER33,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5462,EEA_3161-05-5,2008,2008-01--2008-12,FRFR252A,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5475,EEA_31615-01-7,2008,2008-01--2008-12,FRDR173B,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5480,EEA_3161-01-1,2008,2008-01--2008-12,FRDR10693,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5482,EEA_3161-03-3,2008,2008-01--2008-12,FRDR130,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5483,EEA_3161-02-2,2008,2008-01--2008-12,FRDR130,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5505,EEA_3161-05-5,2008,2008-01--2008-12,FRDR887,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5517,EEA_3161-02-2,2009,2009-01--2009-12,FRER65,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5523,EEA_3161-05-5,2009,2009-01--2009-12,FRHR20,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5527,EEA_3161-03-3,2009,2009-01--2009-12,FRDR599,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5528,EEA_3161-02-2,2009,2009-01--2009-12,FRDR599,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5531,EEA_3161-02-2,2009,2009-01--2009-12,FRDR598,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5533,EEA_3161-05-5,2009,2009-01--2009-12,FRDR2007E,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
